barcode	disease	samples	x	y	type	color	cancerType	Label	delta_ESCCDMRsVSEACDMRs
TCGA-FD-A5BT	BLCA	TCGA-FD-A5BT-01	166	230	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0628245641853976
TCGA-FD-A5BU	BLCA	TCGA-FD-A5BU-01	312	164	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.173584044375313
TCGA-FD-A5BY	BLCA	TCGA-FD-A5BY-01	352	167	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.170432106847009
TCGA-FD-A5C1	BLCA	TCGA-FD-A5C1-01	307	173	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.11822463869758
TCGA-FD-A62N	BLCA	TCGA-FD-A62N-01	303	174	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0786947635185182
TCGA-FD-A62P	BLCA	TCGA-FD-A62P-01	295	181	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0886362784183952
TCGA-FD-A62S	BLCA	TCGA-FD-A62S-01	418	143	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.143903377643535
TCGA-FD-A6TD	BLCA	TCGA-FD-A6TD-01	298	176	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.090253869265349
TCGA-FD-A6TH	BLCA	TCGA-FD-A6TH-01	299	194	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	0.0225355966663219
TCGA-FD-A6TK	BLCA	TCGA-FD-A6TK-01	298	173	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0716963025675234
TCGA-FT-A61P	BLCA	TCGA-FT-A61P-01	245	106	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0169135283867404
TCGA-G2-A2EF	BLCA	TCGA-G2-A2EF-01	358	151	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.16876238030409
TCGA-G2-A2EJ	BLCA	TCGA-G2-A2EJ-01	354	157	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.217870169705067
TCGA-G2-A2ES	BLCA	TCGA-G2-A2ES-01	371	106	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.154285994144657
TCGA-G2-A3IB	BLCA	TCGA-G2-A3IB-01	364	100	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.284878710519537
TCGA-GC-A3I6	BLCA	TCGA-GC-A3I6-01	354	161	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.176961502905545
TCGA-GC-A3RC	BLCA	TCGA-GC-A3RC-01	380	151	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.177249700292169
TCGA-GC-A3WC	BLCA	TCGA-GC-A3WC-01	305	168	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.170255674496694
TCGA-GC-A3YS	BLCA	TCGA-GC-A3YS-01	319	163	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.21764802441198
