SampleName	cancerType	Label	delta_ESCCDMRsVSEACDMRs
TCGA-55-6979_T	LUAD	Other cancers	-0.0161869857102318
TCGA-55-6980_T	LUAD	Other cancers	-0.0125281480244263
TCGA-55-6981_T	LUAD	Other cancers	0.00623583330183519
TCGA-55-6982_T	LUAD	Other cancers	0.00252111635261631
TCGA-55-6983_T	LUAD	Other cancers	0.0501367071237685
TCGA-55-6984_T	LUAD	Other cancers	0.155050884309586
TCGA-55-6985_T	LUAD	Other cancers	-0.0116489361934278
TCGA-55-6986_T	LUAD	Other cancers	0.0301362557914345
TCGA-55-6987_T	LUAD	Other cancers	-0.0109670628303357
TCGA-55-7227_T	LUAD	Other cancers	0.0328081412483647
TCGA-55-7281_T	LUAD	Other cancers	0.0220783074567653
TCGA-55-7283_T	LUAD	Other cancers	0.0732542865141972
TCGA-55-7284_T	LUAD	Other cancers	0.167380511821916
TCGA-55-7570_T	LUAD	Other cancers	0.0166995141941976
TCGA-55-7573_T	LUAD	Other cancers	0.0024167248564414
TCGA-55-7574_T	LUAD	Other cancers	-0.0063546230842807
TCGA-55-7576_T	LUAD	Other cancers	0.015605981089799
TCGA-55-7724_T	LUAD	Other cancers	-0.10674007312826
TCGA-55-7725_T	LUAD	Other cancers	0.0523589510557761
TCGA-55-7726_T	LUAD	Other cancers	-0.151852514804056
TCGA-55-7727_T	LUAD	Other cancers	0.034010264465962
TCGA-55-7728_T	LUAD	Other cancers	0.159691345812273
TCGA-55-7815_T	LUAD	Other cancers	0.0358659357742804
TCGA-55-7816_T	LUAD	Other cancers	-0.0557491877652414
TCGA-55-7903_T	LUAD	Other cancers	0.0327800424499027
TCGA-55-7907_T	LUAD	Other cancers	0.0564109701312221
TCGA-55-7910_T	LUAD	Other cancers	0.0470697006221084
TCGA-55-7911_T	LUAD	Other cancers	0.0111253041558038
TCGA-55-7913_T	LUAD	Other cancers	0.0661541378375207
TCGA-55-7914_T	LUAD	Other cancers	0.0768750494873481
TCGA-55-7994_T	LUAD	Other cancers	0.0463286024218652
TCGA-55-7995_T	LUAD	Other cancers	0.00239304222484549
TCGA-55-8085_T	LUAD	Other cancers	0.0428630254649038
TCGA-55-8087_T	LUAD	Other cancers	0.124778322343703
TCGA-55-8089_T	LUAD	Other cancers	0.00104540706904444
TCGA-55-8090_T	LUAD	Other cancers	0.0626470734302147
TCGA-55-8091_T	LUAD	Other cancers	-0.00498124664967392
TCGA-55-8092_T	LUAD	Other cancers	0.0635311810874513
TCGA-55-8094_T	LUAD	Other cancers	0.142560461663173
TCGA-55-8096_T	LUAD	Other cancers	-0.00426492148023028
TCGA-55-8097_T	LUAD	Other cancers	0.0756580809552664
TCGA-55-8203_T	LUAD	Other cancers	0.0973885759701681
TCGA-55-8204_T	LUAD	Other cancers	-0.139120581037163
TCGA-55-8205_T	LUAD	Other cancers	0.010969997107829
TCGA-55-8206_T	LUAD	Other cancers	0.0588100884147377
TCGA-55-8207_T	LUAD	Other cancers	0.0340947048933512
TCGA-55-8208_T	LUAD	Other cancers	-0.00498695196766608
TCGA-55-8299_T	LUAD	Other cancers	-0.0186625951272027
TCGA-55-8301_T	LUAD	Other cancers	-0.0118101411185298
TCGA-55-8302_T	LUAD	Other cancers	-0.0146046168340618
TCGA-55-8505_T	LUAD	Other cancers	0.0131753463983042
TCGA-55-8506_T	LUAD	Other cancers	0.0228986730450752
TCGA-55-8507_T	LUAD	Other cancers	0.0644746775502066
TCGA-55-8508_T	LUAD	Other cancers	0.0359961634768218
TCGA-55-8510_T	LUAD	Other cancers	0.000160882944460594
TCGA-55-8511_T	LUAD	Other cancers	-0.00369225156879971
TCGA-55-8512_T	LUAD	Other cancers	0.0160077972313273
TCGA-55-8513_T	LUAD	Other cancers	0.0309146275314717
TCGA-55-8514_T	LUAD	Other cancers	0.0144143393964341
TCGA-55-8614_T	LUAD	Other cancers	-0.112516428339954
TCGA-55-8615_T	LUAD	Other cancers	0.106576074553392
TCGA-55-8616_T	LUAD	Other cancers	0.00223308398503608
TCGA-55-8619_T	LUAD	Other cancers	0.053851375492483
TCGA-55-8620_T	LUAD	Other cancers	0.0534262168668294
TCGA-55-8621_T	LUAD	Other cancers	-0.00450077619522282
TCGA-55-A48X_T	LUAD	Other cancers	-0.00623580257482159
TCGA-55-A48Y_T	LUAD	Other cancers	0.0259761972884368
TCGA-55-A48Z_T	LUAD	Other cancers	-0.00364123478392586
TCGA-55-A490_T	LUAD	Other cancers	0.0341023414435863
