gene	Expression	Type	Domain
ENSG000002328831	-0.853423561089621	ESCC_Tumor	EAC_specificPMDs
ENSG000002344881	-0.745690061052671	ESCC_Tumor	EAC_specificPMDs
ENSG000002287301	-3.19427095287649	ESCC_Tumor	EAC_specificPMDs
ENSG000002227401	-3.19199445254319	ESCC_Tumor	EAC_specificPMDs
ENSG000002595111	-2.06424978168581	ESCC_Tumor	EAC_specificPMDs
ENSG000002487481	-3.30157142591467	ESCC_Tumor	EAC_specificPMDs
ENSG000002123791	-3.01932494052267	ESCC_Tumor	EAC_specificPMDs
ENSG000002191351	-1.57055749662601	ESCC_Tumor	EAC_specificPMDs
ENSG000002148191	-3.28527648001633	ESCC_Tumor	EAC_specificPMDs
ENSG000002322921	-3.16461159846689	ESCC_Tumor	EAC_specificPMDs
ENSG000002245951	-2.81478904733668	ESCC_Tumor	EAC_specificPMDs
ENSG000002512231	-3.1857746244921	ESCC_Tumor	EAC_specificPMDs
ENSG000002262541	-3.0012995137846	ESCC_Tumor	EAC_specificPMDs
ENSG000001632071	3.84476165984951	ESCC_Tumor	EAC_specificPMDs
ENSG000001458241	6.71690454507594	ESCC_Tumor	EAC_specificPMDs
ENSG000002318101	-3.14565284800239	ESCC_Tumor	EAC_specificPMDs
ENSG000002197761	-2.64346604040818	ESCC_Tumor	EAC_specificPMDs
ENSG000002585521	-3.02308508719285	ESCC_Tumor	EAC_specificPMDs
ENSG000002791661	-2.870110520398	ESCC_Tumor	EAC_specificPMDs
ENSG000002506221	-3.06898305565036	ESCC_Tumor	EAC_specificPMDs
ENSG000002277701	-1.62500813915156	ESCC_Tumor	EAC_specificPMDs
ENSG000002635671	-2.86098088386488	ESCC_Tumor	EAC_specificPMDs
ENSG000002319911	4.01531361402082	ESCC_Tumor	EAC_specificPMDs
ENSG000002571641	-3.13996813754254	ESCC_Tumor	EAC_specificPMDs
ENSG000002235681	-3.05800146502695	ESCC_Tumor	EAC_specificPMDs
ENSG000002524871	-2.9272673287613	ESCC_Tumor	EAC_specificPMDs
ENSG000002596921	1.00963450010738	ESCC_Tumor	EAC_specificPMDs
ENSG000002327591	-2.54993279984951	ESCC_Tumor	EAC_specificPMDs
ENSG000000060591	-2.26574242372371	ESCC_Tumor	EAC_specificPMDs
ENSG000001794281	-2.8100063992427	ESCC_Tumor	EAC_specificPMDs
ENSG000002323051	-2.60141083403066	ESCC_Tumor	EAC_specificPMDs
ENSG000002676031	-3.06305970059362	ESCC_Tumor	EAC_specificPMDs
ENSG000002012091	-2.99865571723205	ESCC_Tumor	EAC_specificPMDs
ENSG000002387211	-2.75735840076344	ESCC_Tumor	EAC_specificPMDs
ENSG000002266931	-3.21167646826006	ESCC_Tumor	EAC_specificPMDs
ENSG000002558151	-1.91800698098229	ESCC_Tumor	EAC_specificPMDs
ENSG000001137391	1.6967062140716	ESCC_Tumor	EAC_specificPMDs
ENSG000002817691	-3.21798086020337	ESCC_Tumor	EAC_specificPMDs
ENSG000001379751	6.36774061687404	ESCC_Tumor	EAC_specificPMDs
ENSG000002340251	-3.0443438902969	ESCC_Tumor	EAC_specificPMDs
ENSG000002034891	-2.52881598313563	ESCC_Tumor	EAC_specificPMDs
ENSG000001525831	4.76461264863388	ESCC_Tumor	EAC_specificPMDs
ENSG000002002221	-3.25834040523812	ESCC_Tumor	EAC_specificPMDs
ENSG000002274001	-1.91711918466614	ESCC_Tumor	EAC_specificPMDs
ENSG000002400521	-2.20985427741346	ESCC_Tumor	EAC_specificPMDs
ENSG000002503041	-3.24287711504706	ESCC_Tumor	EAC_specificPMDs
ENSG000002675971	-3.18849499947691	ESCC_Tumor	EAC_specificPMDs
ENSG000002263971	-2.90278104501459	ESCC_Tumor	EAC_specificPMDs
ENSG000002534541	-2.42702096479161	ESCC_Tumor	EAC_specificPMDs
ENSG000002400681	-2.40515572405356	ESCC_Tumor	EAC_specificPMDs
ENSG000002355331	-3.15331659500743	ESCC_Tumor	EAC_specificPMDs
ENSG000002676631	-3.29554480697259	ESCC_Tumor	EAC_specificPMDs
ENSG000002568031	-3.12419599666458	ESCC_Tumor	EAC_specificPMDs
ENSG000001665031	1.71815402727012	ESCC_Tumor	EAC_specificPMDs
ENSG000002545981	-0.435933059312126	ESCC_Tumor	EAC_specificPMDs
ENSG000001279281	1.21788885067854	ESCC_Tumor	EAC_specificPMDs
ENSG000002236621	-2.76748847351448	ESCC_Tumor	EAC_specificPMDs
ENSG000002586271	-1.90891397243769	ESCC_Tumor	EAC_specificPMDs
ENSG000002318831	-2.89434307478506	ESCC_Tumor	EAC_specificPMDs
ENSG000002670281	-1.53075769585846	ESCC_Tumor	EAC_specificPMDs
ENSG000001035461	-1.21527774008932	ESCC_Tumor	EAC_specificPMDs
ENSG000002049821	-2.05857136408016	ESCC_Tumor	EAC_specificPMDs
ENSG000002649341	-2.75686815081594	ESCC_Tumor	EAC_specificPMDs
ENSG000002357611	-3.10260867981141	ESCC_Tumor	EAC_specificPMDs
ENSG000002512991	-2.95393030415412	ESCC_Tumor	EAC_specificPMDs
ENSG000001702091	-1.0618817115689	ESCC_Tumor	EAC_specificPMDs
ENSG000002134491	-2.3707058574996	ESCC_Tumor	EAC_specificPMDs
ENSG000002246021	-3.27275426700116	ESCC_Tumor	EAC_specificPMDs
ENSG000002257231	-3.23632473819616	ESCC_Tumor	EAC_specificPMDs
ENSG000002548131	-3.18016266836149	ESCC_Tumor	EAC_specificPMDs
ENSG000002753721	-3.32192809488736	ESCC_Tumor	EAC_specificPMDs
ENSG000002151491	-2.8223456711033	ESCC_Tumor	EAC_specificPMDs
ENSG000002490021	-3.0632393113676	ESCC_Tumor	EAC_specificPMDs
ENSG000002273381	-3.21862854508369	ESCC_Tumor	EAC_specificPMDs
ENSG000002399391	-3.21291392816909	ESCC_Tumor	EAC_specificPMDs
ENSG000002240481	-3.19369911663806	ESCC_Tumor	EAC_specificPMDs
ENSG000002712501	-1.67826005434089	ESCC_Tumor	EAC_specificPMDs
ENSG000002744411	-1.70331938694686	ESCC_Tumor	EAC_specificPMDs
ENSG000002304031	-3.18155819459477	ESCC_Tumor	EAC_specificPMDs
ENSG000001816311	-0.779336155094712	ESCC_Tumor	EAC_specificPMDs
ENSG000002570601	-2.84369591050007	ESCC_Tumor	EAC_specificPMDs
ENSG000002272841	-3.22428882201694	ESCC_Tumor	EAC_specificPMDs
ENSG000002777111	-3.28422182078129	ESCC_Tumor	EAC_specificPMDs
ENSG000001711151	0.291789399648112	ESCC_Tumor	EAC_specificPMDs
ENSG000002403761	3.47532740197787	ESCC_Tumor	EAC_specificPMDs
ENSG000002780041	-3.14185125714192	ESCC_Tumor	EAC_specificPMDs
ENSG000001282501	-3.05866719989559	ESCC_Tumor	EAC_specificPMDs
ENSG000002503781	-0.978490012057738	ESCC_Tumor	EAC_specificPMDs
ENSG000001636001	-0.622938300474303	ESCC_Tumor	EAC_specificPMDs
ENSG000002404781	-3.00874450024101	ESCC_Tumor	EAC_specificPMDs
ENSG000002053181	-2.5862981901982	ESCC_Tumor	EAC_specificPMDs
ENSG000002531401	-3.02713246659839	ESCC_Tumor	EAC_specificPMDs
ENSG000002422221	-3.06638060799321	ESCC_Tumor	EAC_specificPMDs
ENSG000001698771	-2.77817977333802	ESCC_Tumor	EAC_specificPMDs
ENSG000002643901	-3.27931098353151	ESCC_Tumor	EAC_specificPMDs
ENSG000002022681	-3.21642958213308	ESCC_Tumor	EAC_specificPMDs
ENSG000002346481	3.58879984752749	ESCC_Tumor	EAC_specificPMDs
ENSG000002377511	-2.49531402649465	ESCC_Tumor	EAC_specificPMDs
ENSG000001004501	0.253699332243124	ESCC_Tumor	EAC_specificPMDs
ENSG000002569041	-2.86130950447485	ESCC_Tumor	EAC_specificPMDs
