Sample	ESCC_specificPMDs	EAC_specificPMDs	SharedPMDs	SharedHMDs	Type	Source
GSM2150677	0.615274965290791	0.44742050318105	0.405672204836736	0.598681162929067	EAC	GSE81334
GSM2150678	0.638130058834197	0.587169812182588	0.542501464235507	0.609198693456412	EAC	GSE81334
GSM2150679	0.627673245722683	0.478994094363941	0.42963547473353	0.583441336077897	EAC	GSE81334
GSM2150680	0.572508941011592	0.429318030897154	0.398219341193734	0.58328908977731	EAC	GSE81334
GSM2150681	0.66768898261679	0.567011680804675	0.488549638982209	0.641537687577637	EAC	GSE81334
GSM2150682	0.61173319890296	0.397156678281617	0.322621477581492	0.618222415877883	EAC	GSE81334
GSM2150683	0.589579763590273	0.526264219664877	0.474857823695738	0.578769754547847	EAC	GSE81334
GSM2150684	0.637520541910248	0.538858451320237	0.513430002777698	0.59687631960334	EAC	GSE81334
GSM2150685	0.56274353874948	0.449919457542577	0.401770739850059	0.575906524730471	EAC	GSE81334
GSM2150686	0.637476368476795	0.480206266082136	0.428933089639646	0.623963276286594	EAC	GSE81334
GSM2150687	0.686215566719168	0.646754834059073	0.609699855878481	0.621137647608145	squamous	GSE81334
GSM2150688	0.668627311864871	0.646788646389859	0.592507947771072	0.620866046304449	squamous	GSE81334
GSM2150689	0.687360558352021	0.662694881139474	0.61215995606632	0.632769229636746	squamous	GSE81334
GSM2150690	0.680167639406461	0.6421112775513	0.598909510254825	0.621778539882701	squamous	GSE81334
GSM2150691	0.608470428590419	0.633696360244409	0.53204727310034	0.615025502573847	squamous	GSE81334
GSM2150692	0.615797232141259	0.633469217086844	0.541010599145771	0.614371637990066	squamous	GSE81334
GSM2150693	0.654401032678225	0.63630884372202	0.580453148125666	0.622498610045179	squamous	GSE81334
GSM2150694	0.704947814829998	0.672255932697233	0.637244151265002	0.648052523413126	squamous	GSE81334
GSM2150695	0.683881885390179	0.649290251593733	0.619090505619149	0.633914372845528	squamous	GSE81334
GSM2150696	0.638216226562234	0.591927070861405	0.564516310286394	0.57719974896033	squamous	GSE81334
GSM2150697	0.658865874726802	0.639250055320333	0.589487447147258	0.636288356758305	squamous	GSE81334
GSM2150698	0.619953523742903	0.557689283394998	0.530391061624403	0.586755526288637	squamous	GSE81334
GSM2150699	0.63806756154407	0.635940376911814	0.567094672123838	0.64946510598516	squamous	GSE81334
GSM2150700	0.778231741999877	0.723962841634858	0.715115217930042	0.696096878181555	squamous	GSE81334
GSM2150701	0.680339399468258	0.646995620164167	0.598570852902915	0.639830385903292	squamous	GSE81334
GSM2150702	0.681676951658344	0.663856182927445	0.62077500349192	0.64569325611042	squamous	GSE81334
GSM2150703	0.691491145703834	0.670561902285575	0.625939751048162	0.650251658464065	squamous	GSE81334
GSM2150704	0.723902636449474	0.680344870833144	0.652564721738875	0.667488377974218	squamous	GSE81334
GSM2150705	0.497563439946308	0.605362139778691	0.407663214356326	0.603140523274526	squamous	GSE81334
GSM2150706	0.714800144173506	0.67005780961962	0.643997771044788	0.641671586711142	squamous	GSE81334
GSM2150707	0.707111943222302	0.663091299987997	0.636436504772466	0.641925588082099	squamous	GSE81334
GSM2150708	0.641396214665327	0.639972747089696	0.562449116178585	0.631080256717363	squamous	GSE81334
GSM2150709	0.71062944850799	0.663873451775871	0.634741270732007	0.636142355586384	squamous	GSE81334
GSM2150710	0.700226911539121	0.690115167899904	0.626378496086698	0.667248794339926	squamous	GSE81334
GSM2150711	0.710146914076039	0.662613950905529	0.646520151924927	0.634283309011765	squamous	GSE81334
GSM2150712	0.73043235482706	0.681990152856882	0.662476102449268	0.654358804222705	squamous	GSE81334
GSM2150713	0.677761164679216	0.659140570670348	0.597778748115418	0.641014619654974	squamous	GSE81334
GSM2150714	0.701037716126103	0.675444501531912	0.624423800469237	0.6506529331587	squamous	GSE81334
GSM2150715	0.685228673593247	0.670572008336984	0.605710522162633	0.654943928401044	squamous	GSE81334
GSM2150716	0.716710229287078	0.66258812234884	0.639121258402515	0.63671787308727	squamous	GSE81334
GSM2150717	0.668609508392125	0.655893795000075	0.58601451106678	0.634508922305586	squamous	GSE81334
GSM2150718	0.699709494011169	0.652017994714899	0.627513846910168	0.631871651195321	squamous	GSE81334
GSM2150719	0.65496352018975	0.66237490941094	0.588806642403913	0.645699746206569	squamous	GSE81334
GSM2150720	0.659077887009317	0.645828662836074	0.577073070182589	0.637322181867425	squamous	GSE81334
GSM2150721	0.684828932020658	0.657908594397574	0.610097159187386	0.636560569469919	squamous	GSE81334
GSM2150722	0.690690723909468	0.648010343420898	0.606818168361371	0.621174355907821	squamous	GSE81334
GSM2150723	0.622872939722657	0.639968465112359	0.541323561874819	0.639659841678115	squamous	GSE81334
GSM2150724	0.661293210433443	0.654704545915454	0.589940017032416	0.656634369371361	squamous	GSE81334
GSM2150725	0.700153165308673	0.649903701611938	0.626907535112187	0.623218127229838	squamous	GSE81334
GSM2150726	0.696933781787138	0.652363103717779	0.632099266360073	0.627531932357851	squamous	GSE81334
GSM2150727	0.683516222792929	0.645108941336266	0.609917753423723	0.622907255576032	squamous	GSE81334
GSM2150728	0.668383141054155	0.634385322900766	0.593645252474017	0.611444746424774	squamous	GSE81334
GSM2150729	0.713449459668199	0.667680894450678	0.635730605199518	0.644829821749747	squamous	GSE81334
GSM2150730	0.689307165349895	0.648603869914176	0.61467948205082	0.622615425064046	squamous	GSE81334
GSM2150731	0.582784269295673	0.632214757258543	0.49621426422491	0.620173645937036	squamous	GSE81334
GSM2150732	0.641100895567215	0.65401815754068	0.579136032938595	0.643070691626724	squamous	GSE81334
GSM2150733	0.67693392563966	0.668247107817166	0.602463360956517	0.644364362282724	squamous	GSE81334
GSM2150734	0.68092917068294	0.66048139241842	0.610286129486067	0.637861096878678	squamous	GSE81334
GSM2150735	0.613000102190915	0.615893984692995	0.543741887145683	0.60092030909153	squamous	GSE81334
GSM2150736	0.617319563563843	0.550981410614923	0.496240729857736	0.604576804399129	squamous	GSE81334
GSM2150737	0.524771935910677	0.547867771618488	0.519120368343867	0.527206707616547	squamous	GSE81334
GSM2150738	0.617646280036522	0.603158000882529	0.545763823256441	0.581091188878063	squamous	GSE81334
GSM2150739	0.637388418321743	0.614695121638995	0.560464022917221	0.600546491117265	squamous	GSE81334
GSM2150740	0.639847616916684	0.63286270661192	0.567770859068379	0.613415536787929	squamous	GSE81334
GSM2150741	0.651113694127907	0.630390302315014	0.565986161906648	0.607838793892398	squamous	GSE81334
GSM2150742	0.68955774692511	0.644317617879937	0.615930656336036	0.641391835628036	squamous	GSE81334
